DEBUG 2022-09-19 19:10:57,489 autoreload 17924 27856 File D:\Django Projects\Ongoing Projects\ICareGameCredits\icaregamecredits\icgc_app\views.py first seen with mtime 1663292804.212583
DEBUG 2022-09-19 19:10:57,489 autoreload 17924 27856 File C:\Users\LloydQueen\Anaconda3\envs\py39slim\Lib\site-packages\charset_normalizer\api.py first seen with mtime 1645364537.5899382
DEBUG 2022-09-19 19:10:57,489 autoreload 17924 27856 File C:\Users\LloydQueen\Anaconda3\envs\py39slim\Lib\site-packages\openpyxl\descriptors\serialisable.py first seen with mtime 1645364945.765757
DEBUG 2022-09-19 19:10:57,489 autoreload 17924 27856 File C:\Users\LloydQueen\Anaconda3\envs\py39slim\Lib\site-packages\numpy\random\__init__.py first seen with mtime 1645364533.4887016
DEBUG 2022-09-19 19:10:57,489 autoreload 17924 27856 File C:\Users\LloydQueen\Anaconda3\envs\py39slim\Lib\site-packages\django\db\backends\base\__init__.py first seen with mtime 1659963809.701535
DEBUG 2022-09-19 19:10:57,489 autoreload 17924 27856 File C:\Users\LloydQueen\Anaconda3\envs\py39slim\Lib\site-packages\django\conf\urls\__init__.py first seen with mtime 1659963807.7893536
DEBUG 2022-09-19 19:10:57,489 autoreload 17924 27856 File C:\Users\LloydQueen\Anaconda3\envs\py39slim\Lib\site-packages\django\template\loaders\__init__.py first seen with mtime 1659963809.8114297
DEBUG 2022-09-19 19:10:57,489 autoreload 17924 27856 File C:\Users\LloydQueen\Anaconda3\envs\py39slim\Lib\site-packages\django\db\backends\base\features.py first seen with mtime 1659963809.717203
DEBUG 2022-09-19 19:10:57,489 autoreload 17924 27856 File C:\Users\LloydQueen\Anaconda3\envs\py39slim\Lib\site-packages\django\core\checks\templates.py first seen with mtime 1659963809.6681032
DEBUG 2022-09-19 19:10:57,489 autoreload 17924 27856 File C:\Users\LloydQueen\Anaconda3\envs\py39slim\Lib\site-packages\requests\exceptions.py first seen with mtime 1645364544.7189372
